timestamp,halow_rssi_dbm,halow_noise_dbm,halow_tx_rate_mbps,halow_rx_rate_mbps,halow_tx_bytes,halow_rx_bytes,halow_retries,halow_drops,halow_channel_active_ms,halow_channel_busy_ms,halow_channel_busy_pct
2025-12-06T13:32:03.698882,-25.0,-82.0,13.9,,4231050,452338,,2,,,
2025-12-06T13:32:07.680638,-21.0,-84.0,13.9,,4231310,452502,,2,,,
2025-12-06T13:32:11.459689,-21.0,-82.0,13.9,,4231396,452544,,2,,,
2025-12-06T13:32:14.892950,-21.0,-82.0,13.9,,4231396,452544,,2,,,
2025-12-06T13:32:17.982432,-20.0,-80.0,13.9,,4231654,452544,,2,,,
2025-12-06T13:32:21.641934,-20.0,-80.0,13.9,,4231654,452544,,2,,,
2025-12-06T13:32:25.005980,-20.0,-82.0,13.9,,4231654,452544,,2,,,
2025-12-06T13:32:28.207462,-20.0,-84.0,13.9,,4231654,452544,,2,,,
2025-12-06T13:32:31.260651,-20.0,-80.0,13.9,,4231654,452544,,2,,,
2025-12-06T13:32:35.075051,-20.0,-82.0,13.9,,4231826,452544,,2,,,
2025-12-06T13:32:38.260528,-20.0,-84.0,13.9,,4231998,452544,,2,,,
2025-12-06T13:32:41.356205,-20.0,-84.0,13.9,,4232170,452544,,2,,,
2025-12-06T13:32:44.650796,-20.0,-82.0,13.9,,4232170,452544,,2,,,
2025-12-06T13:32:48.587891,-20.0,-82.0,13.9,,4232170,452544,,2,,,
2025-12-06T13:32:51.642149,-20.0,-82.0,13.9,,4232170,452544,,2,,,
2025-12-06T13:32:54.821507,-20.0,-82.0,13.9,,4232170,452544,,2,,,
2025-12-06T13:32:57.940952,-20.0,-80.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:01.604235,-20.0,-82.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:04.952564,-20.0,-82.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:08.221000,-20.0,-80.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:11.335160,-20.0,-80.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:15.828917,-20.0,-80.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:19.248321,-20.0,-82.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:22.495882,-20.0,-80.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:25.868589,-20.0,-82.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:30.281838,-20.0,-84.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:33.606585,-20.0,-82.0,12.3,,4232428,452544,,2,,,
2025-12-06T13:33:36.689335,-20.0,-82.0,12.3,,4232514,452544,,2,,,
2025-12-06T13:33:39.918002,-20.0,-82.0,13.9,,4232686,452544,,2,,,
2025-12-06T13:33:43.586446,-19.0,-82.0,13.9,,4232944,452544,,2,,,
